"C:\Program Files\Java\jdk-9.0.1\bin\java" -Dvisualvm.id=170415548485161 -Xms1024m -Xmx4096m "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\lib\idea_rt.jar=53735:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\project-1\out\production\BasicClassifier;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\project-1\lib\libsvm.jar me.mostly.ml.test.sp500.Main ../project-2/data/transposed.csv
Odd val: AES, [180 (10/1/01)] = -0.682890669
Negative likelihood ratio (low better):   1.0 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      NaN (DOR=LR+/LR-)


Picks: []
Average return: 1.0
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=0.25, RBF kernel (gamma=0.5)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      2
False positives (FP):                     1
False negatives (FN):                     24
True negatives (TN):                      23

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.5 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.07692307692307693 (TPR=TP/RealPos)
True negative rate (Specificity):         0.9583333333333334 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.6666666666666666 (PPV=TP/PredictedPos)
Negative predictive value:                0.48936170212765956 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.5176282051282052 (area=(TPR+TNR)/2)
F1 score:                                 0.13793103448275862 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6478873239436619 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.5 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.041666666666666664 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.9230769230769231 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.3333333333333333 (FDR=FP/PredictedPos)
False omission rate:                      0.5106382978723404 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  1.8461538461538463 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.9632107023411371 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      1.9166666666666667 (DOR=LR+/LR-)


Picks: [BEN, LRCX, ZION]
Average return: 1.5030623877999485
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=0.5, RBF kernel (gamma=1.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      5
False positives (FP):                     3
False negatives (FN):                     21
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.52 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.19230769230769232 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.625 (PPV=TP/PredictedPos)
Negative predictive value:                0.5 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.5336538461538461 (area=(TPR+TNR)/2)
F1 score:                                 0.2941176470588236 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6363636363636364 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.48 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.8076923076923077 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.375 (FDR=FP/PredictedPos)
False omission rate:                      0.5 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  1.5384615384615385 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.9230769230769231 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      1.6666666666666667 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CSX, GE, HON, LRCX, ZION]
Average return: 1.3630338052763524
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=0.25, RBF kernel (gamma=0.2)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      2
False positives (FP):                     0
False negatives (FN):                     24
True negatives (TN):                      24

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.52 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.07692307692307693 (TPR=TP/RealPos)
True negative rate (Specificity):         1.0 (TNR=TN/RealNeg)
Positive predictive value (Precision):    1.0 (PPV=TP/PredictedPos)
Negative predictive value:                0.5 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.5384615384615384 (area=(TPR+TNR)/2)
F1 score:                                 0.14285714285714285 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6666666666666666 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.48 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.0 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.9230769230769231 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.0 (FDR=FP/PredictedPos)
False omission rate:                      0.5 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  Infinity (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.9230769230769231 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      Infinity (DOR=LR+/LR-)


Picks: [LRCX, ZION]
Average return: 1.6683847702323167
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=1.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      7
False positives (FP):                     3
False negatives (FN):                     19
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.56 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.2692307692307692 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.7 (PPV=TP/PredictedPos)
Negative predictive value:                0.525 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.5721153846153846 (area=(TPR+TNR)/2)
F1 score:                                 0.38888888888888884 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.65625 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.44 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.7307692307692307 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.3 (FDR=FP/PredictedPos)
False omission rate:                      0.475 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.1538461538461537 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.8351648351648351 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      2.5789473684210527 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LRCX, NOC, ZION]
Average return: 1.336645787206057
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=0.25, linear kernel

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      10
False positives (FP):                     5
False negatives (FN):                     16
True negatives (TN):                      19

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.58 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.38461538461538464 (TPR=TP/RealPos)
True negative rate (Specificity):         0.7916666666666666 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.6666666666666666 (PPV=TP/PredictedPos)
Negative predictive value:                0.5428571428571428 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.5881410256410257 (area=(TPR+TNR)/2)
F1 score:                                 0.48780487804878053 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6440677966101694 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.42 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.20833333333333334 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6153846153846154 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.3333333333333333 (FDR=FP/PredictedPos)
False omission rate:                      0.45714285714285713 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  1.8461538461538463 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7773279352226722 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      2.3749999999999996 (DOR=LR+/LR-)


Picks: [AIZ, ARNC, ATVI, BEN, CTXS, FBHS, GE, HON, LRCX, LVLT, MU, PRU, WDC, YHOO, ZION]
Average return: 1.3916375496829536
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=1.0, RBF kernel (gamma=0.1)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      8
False positives (FP):                     3
False negatives (FN):                     18
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.58 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.3076923076923077 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.7272727272727273 (PPV=TP/PredictedPos)
Negative predictive value:                0.5384615384615384 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.5913461538461539 (area=(TPR+TNR)/2)
F1 score:                                 0.43243243243243246 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6666666666666666 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.42 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6923076923076923 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.2727272727272727 (FDR=FP/PredictedPos)
False omission rate:                      0.46153846153846156 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.4615384615384617 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7912087912087912 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.1111111111111116 (DOR=LR+/LR-)


Picks: [ARNC, BEN, CTXS, GE, HON, LRCX, MU, PRU, WDC, YHOO, ZION]
Average return: 1.4486217591800596
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=0.5, RBF kernel (gamma=0.2)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      8
False positives (FP):                     3
False negatives (FN):                     18
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.58 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.3076923076923077 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.7272727272727273 (PPV=TP/PredictedPos)
Negative predictive value:                0.5384615384615384 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.5913461538461539 (area=(TPR+TNR)/2)
F1 score:                                 0.43243243243243246 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6666666666666666 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.42 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6923076923076923 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.2727272727272727 (FDR=FP/PredictedPos)
False omission rate:                      0.46153846153846156 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.4615384615384617 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7912087912087912 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.1111111111111116 (DOR=LR+/LR-)


Picks: [ARNC, BEN, CTXS, GE, HON, LRCX, MU, PRU, WDC, YHOO, ZION]
Average return: 1.4486217591800596
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=10.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LLY, LRCX, MCO, NOC, ZION]
Average return: 1.3137247823727762
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=50.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LLY, LRCX, MCO, NOC, ZION]
Average return: 1.3137247823727762
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=20.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LLY, LRCX, MCO, NOC, ZION]
Average return: 1.3137247823727762
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=1000.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LLY, LRCX, MCO, NOC, ZION]
Average return: 1.3137247823727762
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=100.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LLY, LRCX, MCO, NOC, ZION]
Average return: 1.3137247823727762
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=2.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LLY, LRCX, MCO, NOC, ZION]
Average return: 1.3137247823727762
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=5.0, RBF kernel (gamma=2.0)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, GE, HON, LLY, LRCX, MCO, NOC, ZION]
Average return: 1.3137247823727762
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=0.5, RBF kernel (gamma=0.5)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      9
False positives (FP):                     3
False negatives (FN):                     17
True negatives (TN):                      21

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.6 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.34615384615384615 (TPR=TP/RealPos)
True negative rate (Specificity):         0.875 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.75 (PPV=TP/PredictedPos)
Negative predictive value:                0.5526315789473685 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6105769230769231 (area=(TPR+TNR)/2)
F1 score:                                 0.47368421052631576 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6774193548387097 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.4 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.125 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.6538461538461539 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.25 (FDR=FP/PredictedPos)
False omission rate:                      0.4473684210526316 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.769230769230769 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.7472527472527473 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.705882352941176 (DOR=LR+/LR-)


Picks: [ARNC, BEN, BWA, CCL, CSX, CTXS, GE, HON, LRCX, MU, PRU, ZION]
Average return: 1.4290844156345248
Oracle: me.mostly.ml.test.sp500.Main$$Lambda$29/1447689627@4b14c583
Classifier: C=2.0, RBF kernel (gamma=0.1)

Actual prevalence:                        0.52 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      12
False positives (FP):                     5
False negatives (FN):                     14
True negatives (TN):                      19

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.62 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.46153846153846156 (TPR=TP/RealPos)
True negative rate (Specificity):         0.7916666666666666 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.7058823529411765 (PPV=TP/PredictedPos)
Negative predictive value:                0.5757575757575758 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6266025641025641 (area=(TPR+TNR)/2)
F1 score:                                 0.5581395348837209 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.6666666666666666 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.38 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.20833333333333334 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.5384615384615384 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.29411764705882354 (FDR=FP/PredictedPos)
